행정구역,2024년01월_계_총인구수,2024년01월_계_연령구간인구수,2024년01월_계_0~9세,2024년01월_계_10~19세,2024년01월_계_20~29세,2024년01월_계_30~39세,2024년01월_계_40~49세,2024년01월_계_50~59세,2024년01월_계_60~69세,2024년01월_계_70~79세,2024년01월_계_80~89세,2024년01월_계_90~99세,2024년01월_계_100세 이상,2024년01월_남_총인구수,2024년01월_남_연령구간인구수,2024년01월_남_0~9세,2024년01월_남_10~19세,2024년01월_남_20~29세,2024년01월_남_30~39세,2024년01월_남_40~49세,2024년01월_남_50~59세,2024년01월_남_60~69세,2024년01월_남_70~79세,2024년01월_남_80~89세,2024년01월_남_90~99세,2024년01월_남_100세 이상,2024년01월_여_총인구수,2024년01월_여_연령구간인구수,2024년01월_여_0~9세,2024년01월_여_10~19세,2024년01월_여_20~29세,2024년01월_여_30~39세,2024년01월_여_40~49세,2024년01월_여_50~59세,2024년01월_여_60~69세,2024년01월_여_70~79세,2024년01월_여_80~89세,2024년01월_여_90~99세,2024년01월_여_100세 이상
전북특별자치도 정읍시 산외면(5218044000),"1,970","1,970",37,72,96,81,127,365,468,353,323,46,2,"1,022","1,022",17,34,54,49,84,237,270,163,103,10,1,948,948,20,38,42,32,43,128,198,190,220,36,1
전북특별자치도 정읍시 수성동(5218051000),"16,454","16,454","1,046","1,695","2,043","1,716","2,645","3,185","2,237","1,184",619,79,5,"8,357","8,357",520,919,"1,128",911,"1,352","1,670","1,120",517,202,18,0,"8,097","8,097",526,776,915,805,"1,293","1,515","1,117",667,417,61,5
전북특별자치도 정읍시 장명동(5218052000),"2,716","2,716",115,223,243,176,401,512,490,300,219,36,1,"1,342","1,342",58,110,143,91,212,272,252,123,78,3,0,"1,374","1,374",57,113,100,85,189,240,238,177,141,33,1
전북특별자치도 정읍시 내장상동(5218053500),"20,868","20,868","1,458","2,663","2,318","1,767","3,314","3,724","2,830","1,696",941,150,7,"10,096","10,096",743,"1,326","1,244",880,"1,533","1,867","1,362",790,320,30,1,"10,772","10,772",715,"1,337","1,074",887,"1,781","1,857","1,468",906,621,120,6
전북특별자치도 정읍시 시기동(5218054500),"3,087","3,087",111,236,290,208,326,484,630,467,287,47,1,"1,470","1,470",71,109,163,107,167,252,287,193,105,16,0,"1,617","1,617",40,127,127,101,159,232,343,274,182,31,1
전북특별자치도 정읍시 초산동(5218056500),"9,901","9,901",734,"1,234","1,074",888,"1,559","1,766","1,391",807,399,49,0,"4,906","4,906",403,677,632,433,728,856,657,358,152,10,0,"4,995","4,995",331,557,442,455,831,910,734,449,247,39,0
전북특별자치도 정읍시 연지동(5218057000),"5,742","5,742",395,489,492,510,785,997,930,725,359,58,2,"2,831","2,831",188,256,258,261,405,509,468,332,145,9,0,"2,911","2,911",207,233,234,249,380,488,462,393,214,49,2
전북특별자치도 정읍시 농소동(5218058000),"3,788","3,788",131,255,341,230,413,713,823,484,343,54,1,"1,845","1,845",66,138,181,109,230,379,397,213,120,12,0,"1,943","1,943",65,117,160,121,183,334,426,271,223,42,1
전북특별자치도 정읍시 상교동(5218059500),"4,234","4,234",120,209,480,423,419,719,819,539,419,82,5,"2,197","2,197",72,99,262,247,242,401,448,258,148,19,1,"2,037","2,037",48,110,218,176,177,318,371,281,271,63,4
전북특별자치도 남원시 (5219000000),"76,664","76,664","3,798","6,564","6,321","5,586","9,042","13,581","14,145","9,598","6,862","1,129",38,"37,614","37,614","1,988","3,414","3,548","2,886","4,535","7,229","7,156","4,387","2,229",233,9,"39,050","39,050","1,810","3,150","2,773","2,700","4,507","6,352","6,989","5,211","4,633",896,29
전북특별자치도 남원시 운봉읍(5219025000),"3,659","3,659",122,208,200,196,287,636,813,606,497,90,4,"1,778","1,778",68,111,116,118,152,335,438,263,161,16,0,"1,881","1,881",54,97,84,78,135,301,375,343,336,74,4
전북특별자치도 남원시 주천면(5219031000),"2,510","2,510",88,124,182,141,193,484,577,397,271,50,3,"1,261","1,261",51,62,102,70,99,286,295,194,89,11,2,"1,249","1,249",37,62,80,71,94,198,282,203,182,39,1
전북특별자치도 남원시 수지면(5219032000),"1,043","1,043",40,41,47,39,88,145,252,191,154,46,0,518,518,16,21,30,22,63,80,137,93,45,11,0,525,525,24,20,17,17,25,65,115,98,109,35,0
전북특별자치도 남원시 송동면(5219033000),"1,871","1,871",39,83,114,86,129,327,466,297,280,46,4,943,943,18,46,66,47,79,183,272,143,80,8,1,928,928,21,37,48,39,50,144,194,154,200,38,3
전북특별자치도 남원시 주생면(5219034000),"1,746","1,746",53,92,76,63,133,296,400,316,267,50,0,853,853,30,50,49,28,78,174,214,138,83,9,0,893,893,23,42,27,35,55,122,186,178,184,41,0
전북특별자치도 남원시 금지면(5219035000),"2,139","2,139",35,89,104,76,174,327,501,427,347,56,3,"1,022","1,022",16,47,63,45,102,183,255,196,104,11,0,"1,117","1,117",19,42,41,31,72,144,246,231,243,45,3
전북특별자치도 남원시 대강면(5219036000),"1,474","1,474",18,45,56,55,102,204,383,277,254,78,2,715,715,11,24,33,26,69,120,206,128,78,18,2,759,759,7,21,23,29,33,84,177,149,176,60,0
